LOCATION_NAME,M2N,M4Y,M5A,M5B,M4H,M3N,M5T,M4X,M5G,M2J,M5S,M3C,M6K,M1G,M5V,M1K
Fred Victor Centre Transition to Housing Dundas St E,7281177.4708048245,7284404.670211942,7286036.150895358,7284731.677451475,7287199.419051939,7272251.333513817,7283168.749764728,7285466.183152842,7284167.909417604,7286284.827402194,7283024.736957318,7286900.2457277905,7280556.215711948,7297109.773377569,7282594.350117962,7293631.61162142
Fred Victor Mary Sheffield House,7281177.480697007,7284404.680119415,7286036.160804273,7284731.687360255,7287199.428953351,7272251.343408372,7283168.759674333,7285466.193059807,7284167.919326718,7286284.837291902,7283024.746865462,7286900.255625968,7280556.225623711,7297109.7832674915,7282594.360030203,7293631.62151829
Adelaide Resource Centre for Women,7281177.47877555,7284404.678171676,7286036.158854055,7284731.685410268,7287199.427016033,7272251.341482839,7283168.757722927,7285466.191112943,7284167.917376158,7286284.835374694,7283024.744916569,7286900.253694211,7280556.223668591,7297109.781349916,7282594.358074262,7293631.619588779
Fred Victor Centre Fatima House,7281177.533753486,7284404.73316326,7286036.213846919,7284731.740403013,7287199.482002221,7272251.396462901,7283168.812716405,7285466.246104074,7284167.972369199,7286284.890350413,7283024.799908749,7286900.308677511,7280556.2786639845,7297109.836325827,7282594.413070078,7293631.674570912
Good Shepherd Centre,7281177.465544201,7284404.664945694,7286036.145628579,7284731.672184745,7287199.413787918,7272251.32825232,7283168.744497695,7285466.177886781,7284167.904150752,7286284.822142481,7283024.731690822,7286900.240464961,7280556.210444121,7297109.768117778,7282594.344849959,7293631.606359071
Good Shepherd Centre,7281177.465544201,7284404.664945694,7286036.145628579,7284731.672184745,7287199.413787918,7272251.32825232,7283168.744497695,7285466.177886781,7284167.904150752,7286284.822142481,7283024.731690822,7286900.240464961,7280556.210444121,7297109.768117778,7282594.344849959,7293631.606359071
Good Shepherd Centre Barrett House,7281177.465343191,7284404.664745529,7286036.1454284955,7284731.671984653,7287199.413587419,7272251.328051441,7283168.74429765,7285466.177686589,7284167.903950679,7286284.821941335,7283024.731490696,7286900.240264283,7280556.210244195,7297109.767916643,7282594.34465006,7293631.606158321
Good Shepherd Centre West End Hotel Program,7281177.478135426,7284404.677545935,7286036.1582296705,7284731.684785758,7287199.426384589,7272251.340844945,7283168.757099194,7285466.190486724,7284167.916751961,7286284.834732245,7283024.74429146,7286900.2530597225,7280556.22304689,7297109.7807076685,7282594.357453011,7293631.618953062
HFS Kennedy Rd Women's Shelter,7281177.360902155,7284404.560394494,7286036.041085961,7284731.567641336,7287199.309200666,7272251.223624347,7283168.639959195,7285466.07333255,7284167.799609323,7286284.717485772,7283024.627143618,7286900.135858485,7280556.105918482,7297109.663462338,7282594.24032717,7293631.501744834
HFS 545 Lake Shore Blvd W Shelter,7281177.504067421,7284404.703445843,7286036.1841265485,7284731.710682915,7287199.452297227,7272251.366771968,7283168.782994619,7285466.216387701,7284167.942648419,7286284.860669422,7283024.770189957,7286900.278979152,7280556.248937774,7297109.806644397,7282594.383342889,7293631.644875232
