PROGRAM_ID,LOCATION_NAME,SHELTER_ID,LOCATION_ADDRESS,LOCATION_CITY,LOCATION_PROVINCE,SECTOR,CAPACITY_TYPE,full_address,location,latitude,longitude,type
16391,Adelaide Resource Centre for Women,42,67 Adelaide St E,Toronto,ON,['Women'],Bed Based Capacity,"67 Adelaide St E, Toronto, ON","67, Adelaide Street East, Downtown Yonge East, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5C 3E4, Canada",43.6510367,-79.3751525,Women only
16951,Progress Avenue Shelter,94,705 Progress Ave,Toronto,ON,['Men'],Bed Based Capacity,"705 Progress Ave, Toronto, ON","705, Progress Avenue, Woburn North, Scarborough—Guildwood, Scarborough, Toronto, Golden Horseshoe, Ontario, M1H 3H8, Canada",43.7783143,-79.2464647,Men only
17071,TSSS Seaton House,3,339 George St,Toronto,ON,['Men'],Bed Based Capacity,"339 George St, Toronto, ON","339, George Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.6597005,-79.3743234,Men only
17091,TSSS Seaton House,3,339 George St,Toronto,ON,['Men'],Bed Based Capacity,"339 George St, Toronto, ON","339, George Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.6597005,-79.3743234,Men only
17951,Scott Mission,8,502 Spadina Ave,Toronto,ON,['Men'],Bed Based Capacity,"502 Spadina Ave, Toronto, ON","The Scott Mission, 502, Spadina Avenue, University, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M5T 1R7, Canada",43.6586664,-79.4007532,Men only
18011,Good Shepherd Centre,16,412 Queen St E,Toronto,ON,['Men'],Bed Based Capacity,"412 Queen St E, Toronto, ON","412, Queen Street East, Regent Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 4G8, Canada",43.656175,-79.3624789,Men only
18031,Na-Me-Res,1,14 Vaughan Rd,Toronto,ON,['Men'],Bed Based Capacity,"14 Vaughan Rd, Toronto, ON","14, Vaughan Road, Wychwood, Toronto—St. Paul's, Toronto, Golden Horseshoe, Ontario, M5R 3S3, Canada",43.6814254,-79.4183507,Men only
18052,Dixon Hall Schoolhouse,14,349 George St,Toronto,ON,['Men'],Bed Based Capacity,"349 George St, Toronto, ON","349, George Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.660052,-79.374465,Men only
18191,SVDP Elisa House,38,60 Newcastle St,Toronto,ON,['Women'],Bed Based Capacity,"60 Newcastle St, Toronto, ON","60, Newcastle Street, Mimico-Queensway, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8Y 2R1, Canada",43.6179513,-79.4973594,Women only
18192,SVDP Mary's Home,37,70 Gerrard St E,Toronto,ON,['Women'],Bed Based Capacity,"70 Gerrard St E, Toronto, ON","70, Gerrard Street East, Downtown Yonge East, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5G 2A7, Canada",43.6600957,-79.3783524,Women only
18471,TSSS Seaton House,3,339 George St,Toronto,ON,['Men'],Bed Based Capacity,"339 George St, Toronto, ON","339, George Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.6597005,-79.3743234,Men only
